"pid3","lr1","hs1","weight"
"Independent","M","Hard",0.826919145624216
"Independent","L","Soft",1.64892211171502
"Republican","L","Hard",1.19372290937804
"Republican","R","Soft",1.04191318475317
"Independent","L","Hard",1.19372290937804
"Independent","M","Hard",0.886423740337394
"Independent","L","Hard",1.09844101349769
"Independent","R","Soft",0.772340395644099
"Republican","R","Hard",0.839335396975683
"Independent","M","Hard",0.772340395644099
"Republican","R","Hard",0.839335396975683
"Republican","R","Hard",1.02618278592251
"Democrat","M","Hard",0.687550661511841
"Republican","L","Hard",1.19372290937804
"Independent","L","Hard",1.27962247803388
"Republican","R","Hard",1.01100250942223
"Republican","M","Soft",0.96308780903132
"Independent","R","Hard",1.19372290937804
"Democrat","R","Soft",0.902455853750719
"Democrat","M","Hard",0.667152939722186
"Independent","L","Soft",0.995463284047374
"Independent","R","Hard",0.784179633860897
"Independent","L","Hard",0.772340395644099
"Republican","M","Soft",0.760915198379975
"Independent","R","Soft",1.01100250942223
"Democrat","L","Soft",1.09844101349769
"Democrat","L","Hard",1.09844101349769
"Independent","L","Soft",1.34260980743841
"Independent","R","Hard",0.677170289826238
"Democrat","L","Soft",0.72502368212688
"Democrat","L","Hard",0.852201604368991
"Independent","R","Soft",1.09844101349769
"Independent","R","Hard",1.19372290937804
"Democrat","M","Hard",1.02618278592251
"Democrat","L","Soft",0.784179633860897
"Independent","M","Hard",0.96308780903132
"Independent","M","Hard",0.667152939722186
"Republican","M","Hard",0.784179633860897
"Republican","R","Hard",0.784179633860897
"Republican","R","Hard",0.772340395644099
"Republican","R","Hard",0.839335396975683
"Independent","L","Hard",0.784179633860897
"Independent","M","Soft",1.04191318475317
"Democrat","R","Soft",1.64892211171502
"Independent","M","Soft",0.886423740337394
"Republican","M","Soft",0.852201604368991
"Independent","R","Soft",1.19372290937804
"Republican","M","Hard",1.09844101349769
"Independent","M","Hard",0.826919145624216
"Independent","L","Hard",0.772340395644099
"Independent","M","Hard",1.09844101349769
"Independent","L","Soft",1.04191318475317
"Democrat","L","Soft",1.19372290937804
"Independent","M","Hard",1.04662878320849
"Democrat","M","Soft",1.04662878320849
"Democrat","M","Hard",1.02618278592251
"Republican","M","Soft",0.72502368212688
"Democrat","L","Hard",0.886423740337394
"Democrat","M","Hard",1.09844101349769
"Republican","M","Hard",0.72502368212688
"Democrat","L","Soft",0.886178482075556
"Republican","L","Hard",0.687550661511841
"Republican","R","Soft",0.784179633860897
"Independent","R","Soft",0.760915198379975
"Independent","R","Hard",1.04662878320849
"Independent","R","Hard",0.826919145624216
"Republican","M","Hard",0.687550661511841
"Independent","L","Hard",1.09844101349769
"Independent","R","Hard",0.72502368212688
"Independent","M","Hard",1.09844101349769
"Independent","L","Soft",1.04662878320849
"Democrat","M","Soft",1.61671025440534
"Independent","R","Hard",0.852201604368991
"Independent","L","Hard",0.72502368212688
"Independent","M","Soft",0.72502368212688
"Independent","M","Hard",1.01100250942223
"Democrat","R","Hard",1.05131070462811
"Independent","M","Soft",1.19372290937804
"Republican","R","Soft",1.45946174220574
"Republican","L","Hard",1.19372290937804
"Democrat","R","Hard",0.9807374397777
"Republican","M","Soft",0.886423740337394
"Democrat","L","Hard",0.87279930503644
"Democrat","R","Hard",0.784179633860897
"Independent","R","Hard",0.760915198379975
"Republican","R","Hard",0.852201604368991
"Republican","R","Soft",0.886423740337394
"Independent","R","Hard",0.899733457523381
"Republican","L","Soft",0.687550661511841
"Independent","M","Soft",0.886423740337394
"Republican","R","Soft",1.04662878320849
"Republican","L","Hard",1.45946174220574
"Republican","R","Soft",1.04662878320849
"Independent","R","Hard",0.826919145624216
"Republican","L","Hard",1.09844101349769
"Democrat","M","Hard",0.760915198379975
"Republican","M","Soft",0.784179633860897
"Independent","R","Soft",1.24131608111056
"Independent","L","Soft",1.01100250942223
"Republican","R","Soft",0.96308780903132
"Republican","M","Hard",1.01100250942223
"Republican","M","Hard",1.27962247803388
"Independent","M","Soft",1.45946174220574
"Independent","M","Hard",0.899733457523381
"Democrat","R","Soft",0.930047793074134
"Republican","M","Soft",0.760915198379975
"Independent","R","Hard",0.839335396975683
"Democrat","M","Hard",1.24131608111056
"Democrat","M","Hard",0.96308780903132
"Republican","R","Soft",1.09844101349769
"Republican","M","Hard",0.667152939722186
"Independent","L","Soft",0.886423740337394
"Independent","R","Hard",1.01100250942223
"Democrat","M","Hard",0.886178482075556
"Independent","M","Soft",1.19372290937804
"Republican","M","Hard",1.09844101349769
"Democrat","R","Hard",1.3965254245261
"Republican","L","Hard",1.05107298007918
"Republican","R","Soft",1.27962247803388
"Democrat","M","Soft",0.96308780903132
"Republican",NA,NA,1.19372290937804
"Republican","L","Hard",0.784179633860897
"Independent","R","Hard",0.826919145624216
"Democrat","L","Soft",1.06709621162263
"Independent","L","Hard",1.27962247803388
